Nodes,Edges,bfs-time in (ms),ffa-time in (s)
5,5,0,0
6,5,0,0
7,5,0,0
8,7,0,0
9,12,2,0
10,17,0,0
11,25,1,0
12,24,0,0
13,28,0,0
14,33,1,0
15,36,1,0
16,39,1,0
17,51,5,0
18,56,1,0
19,63,1,0
20,73,1,0
21,64,2,0
22,83,1,0
23,88,5,0
24,97,1,0
25,114,1,0
26,117,1,0
27,120,1,0
28,124,1,0
29,145,1,0
30,151,5,0
31,167,1,0
32,190,2,0
33,206,1,0
34,192,1,0
35,211,1,0
36,227,1,0
37,239,1,0
38,269,3,0
39,277,1,0
40,281,1,0
41,315,1,0
42,315,7,0
43,334,2,0
44,346,3,0
45,361,2,0
46,389,2,0
47,400,3,0
48,422,1,0
49,442,1,0
50,454,2,0
51,466,2,0
52,491,2,0
53,534,8,0
54,526,2,0
55,561,3,0
56,599,2,0
57,570,2,0
58,618,7,0
59,629,2,0
60,661,2,0
61,711,2,0
62,709,6,0
63,754,2,0
64,720,2,0
65,777,2,0
66,817,3,0
67,831,2,0
68,864,4,0
69,890,3,0
70,930,3,0
71,953,2,0
72,967,6,0
73,1004,2,0
74,1015,2,0
75,1053,3,0
76,1084,2,0
77,1135,2,0
78,1132,7,0
79,1158,2,0
80,1214,2,0
81,1217,2,0
82,1286,2,0
83,1316,2,0
84,1379,6,0
85,1348,2,0
86,1363,3,0
87,1428,2,0
88,1447,2,0
89,1448,7,0
90,1524,3,0
91,1573,7,0
92,1642,3,0
93,1651,9,0
94,1684,4,0
95,1718,4,0
96,1775,4,0
97,1768,6,0
98,1867,7,0
99,1858,3,0
100,1904,6,0
101,1949,6,0
102,1955,4,0
103,2029,4,0
104,2107,6,0
105,2064,4,0
106,2154,6,0
107,2220,3,0
108,2233,3,0
109,2262,3,0
110,2304,7,0
111,2347,4,0
112,2399,6,0
113,2425,5,0
114,2537,7,0
115,2520,4,0
116,2576,4,0
117,2645,3,0
118,2673,4,0
119,2740,4,0
120,2802,7,0
121,2811,5,0
122,2905,4,0
123,2937,4,0
124,3001,7,0
125,3043,8,0
126,3087,4,0
127,3077,5,0
128,3156,11,0
129,3206,12,0
130,3265,5,0
131,3317,6,0
132,3427,8,0
133,3438,4,0
134,3502,4,0
135,3545,4,0
136,3616,4,0
137,3657,3,0
138,3746,5,0
139,3757,3,0
140,3793,7,0
141,3941,4,0
142,3932,7,0
143,3972,4,0
144,4089,4,0
145,4120,5,0
146,4156,3,0
147,4300,4,0
148,4319,7,0
149,4355,4,0
150,4440,7,0
151,4545,4,0
152,4561,5,0
153,4622,4,0
154,4669,5,0
155,4713,4,0
156,4769,5,0
157,4866,4,0
158,4964,4,0
159,4958,5,0
160,5044,8,0
161,5083,5,0
162,5129,5,0
163,5249,11,0
164,5298,5,0
165,5360,6,0
166,5490,4,0
167,5482,8,0
168,5594,4,0
169,5644,4,0
170,5734,5,1
171,5870,4,0
172,5872,4,0
173,5931,5,0
174,6017,7,0
175,6047,4,1
176,6110,4,0
177,6242,5,0
178,6309,9,0
179,6358,5,0
180,6474,5,1
181,6554,4,0
182,6582,8,1
183,6685,5,2
184,6766,5,1
185,6821,9,1
186,6978,6,1
187,6998,6,1
188,7133,6,1
189,7134,6,1
190,7242,5,1
191,7256,5,0
192,7396,8,0
193,7429,5,0
194,7549,6,1
195,7608,5,0
196,7710,6,0
197,7818,10,1
198,7936,5,1
199,7972,6,1
200,8070,5,0
201,8048,5,1
202,8230,5,1
203,8367,6,1
204,8351,10,1
205,8428,6,1
206,8515,5,1
207,8542,10,1
208,8733,5,1
209,8832,6,1
210,8887,5,1
211,8920,5,0
212,9115,5,1
213,9189,5,1
214,9259,5,0
215,9280,5,1
216,9415,6,1
217,9506,5,1
218,9594,8,1
219,9675,5,1
220,9821,5,1
221,9827,9,1
222,10017,5,1
223,10124,5,1
224,10214,5,1
225,10167,6,1
226,10326,10,1
227,10363,5,1
228,10599,5,1
229,10607,5,1
230,10748,5,1
231,10746,10,1
232,10938,7,1
233,11024,8,1
234,11165,12,2
235,11211,6,1
236,11335,7,1
237,11402,12,1
238,11461,6,1
239,11605,7,1
240,11716,12,2
241,11763,6,2
242,11854,6,1
243,12027,9,2
244,12237,7,1
245,12214,8,1
246,12387,7,1
247,12437,11,1
248,12537,7,1
249,12572,7,1
250,12722,11,1
251,12919,11,1
252,12934,12,2
253,13085,11,2
254,13269,7,1
255,13226,12,1
256,13328,12,1
257,13557,12,2
258,13550,7,1
259,13695,9,1
260,13824,13,1
261,13901,11,2
262,14084,13,1
263,14110,8,1
264,14181,7,1
265,14408,7,2
266,14474,8,2
267,14642,7,1
268,14674,8,1
269,14848,11,1
270,15026,7,2
271,15097,8,2
272,15163,7,1
273,15281,12,2
274,15490,6,1
275,15536,11,2
276,15660,11,1
277,15749,11,1
278,15943,7,2
279,15992,7,1
280,16024,12,2
281,16246,12,2
282,16264,12,2
283,16385,8,1
284,16670,7,1
285,16650,11,2
286,16937,11,2
287,16891,10,2
288,17097,11,2
289,17254,6,2
290,17364,8,3
291,17507,6,2
292,17622,11,1
293,17666,11,2
294,17849,7,2
295,18003,9,2
296,18066,8,2
